"";"Q1";"Q2";"Q3";"Q4";"Q5";"Q6";"Q7";"Q8";"Q9";"Q10";"Q11";"Q12";"Q13";"Q14";"Q15";"Q16";"Q17"
"262";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Concordo fortemente"
"263";"Discordo";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo parcialmente";"Concordo parcialmente"
"264";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente"
"265";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente"
"266";"Discordo fortemente";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo parcialmente";"Discordo parcialmente";"Concordo parcialmente"
"267";"Discordo fortemente";"Discordo";"Concordo";"Concordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo parcialmente";"Discordo parcialmente"
"268";"Discordo";"Discordo fortemente";"Concordo";"Concordo";"Concordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo parcialmente";"Não concordo nem discordo";"Concordo parcialmente";"Discordo parcialmente"
"269";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo parcialmente"
"270";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente"
"271";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente"
"272";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Discordo parcialmente";"Não concordo nem discordo";"Concordo"
"273";"Discordo fortemente";"Discordo fortemente";"Discordo";"Concordo fortemente";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente"
"274";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo";"Concordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Concordo parcialmente";"Discordo parcialmente"
"275";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente"
"276";"Concordo";"Discordo";"Concordo";"Discordo";"Discordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente"
"277";"Discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo parcialmente";"Concordo fortemente"
"278";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente"
"279";"Discordo";"Discordo";"Concordo";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo"
"280";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Discordo"
"281";"Discordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo"
"282";"Concordo";"Discordo";"Concordo";"Concordo";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo"
"283";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Concordo parcialmente";"Não concordo nem discordo";"Discordo fortemente"
"284";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo"
"285";"Discordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente"
"286";"Concordo";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente"
"287";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Concordo parcialmente";"Concordo parcialmente"
"288";"Discordo fortemente";"Discordo fortemente";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Concordo fortemente"
"289";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Concordo parcialmente";"Não concordo nem discordo";"Concordo fortemente"
"290";"Discordo";"Não concordo nem discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo";"Concordo";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Concordo"
"291";"Concordo fortemente";"Discordo";"Concordo";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Discordo parcialmente";"Concordo parcialmente";"Concordo parcialmente"
"292";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Concordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo parcialmente"
"293";"Discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente"
"294";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Discordo";"Concordo fortemente";"Discordo fortemente"
"295";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo";"Discordo fortemente";"Concordo";"Discordo";"Discordo fortemente";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo fortemente";"Discordo parcialmente";"Concordo parcialmente"
"296";"Não concordo nem discordo";"Discordo fortemente";"Concordo";"Concordo";"Discordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente"
"297";"Discordo";"Discordo";"Concordo";"Concordo";"Não concordo nem discordo";"Concordo";"Discordo";"Discordo";"Discordo";"Discordo";"Discordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo parcialmente";"Concordo";"Discordo"
"298";"Discordo fortemente";"Discordo";"Concordo";"Concordo fortemente";"Discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente"
"299";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Concordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente";"Não concordo nem discordo"
"300";"Discordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente"
"301";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Concordo fortemente";"Não concordo nem discordo";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente"
"302";"Discordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Não concordo nem discordo";"Concordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo parcialmente";"Discordo fortemente";"Não concordo nem discordo";"Concordo parcialmente"
"303";"Discordo";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente";"Discordo fortemente";"Discordo fortemente";"Concordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo";"Discordo parcialmente"
"304";"Discordo";"Não concordo nem discordo";"Concordo";"Discordo";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Não concordo nem discordo";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo parcialmente";"Discordo parcialmente"
"305";"Discordo";"Discordo";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Não concordo nem discordo";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo parcialmente";"Não concordo nem discordo";"Discordo parcialmente";"Concordo fortemente"
"306";"Não concordo nem discordo";"Discordo";"Concordo";"Concordo";"Discordo";"Concordo";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo fortemente";"Discordo";"Discordo fortemente";"Discordo fortemente";"Concordo fortemente"
"307";"Não concordo nem discordo";"Discordo fortemente";"Concordo fortemente";"Concordo";"Discordo fortemente";"Concordo fortemente";"Concordo fortemente";"Concordo fortemente";"Não concordo nem discordo";"Discordo fortemente";"Discordo fortemente";"Discordo";"Não concordo nem discordo";"Discordo parcialmente";"Concordo parcialmente";"Não concordo nem discordo";"Concordo fortemente"
